试验类型,A类最低占比,C类最高占比,低损耗权重,低损耗率阈值,规划损耗缓冲率,可行,原因,目标成本,A类实际占比,C类实际占比,最少合格转运商数,实际使用转运商数,已使用最大预测损耗率,实际运输损耗产品当量,实际最低库存,实际安全库存裕度
材料比例敏感性,0.825,0.001,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.001,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.001,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.002,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.002,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.002,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.0025,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.0025,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.0025,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.005,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.005,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.005,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.01,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.01,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.01,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.15,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.15,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.825,0.15,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.001,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.001,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.001,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.002,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.002,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.002,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.0025,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.0025,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.0025,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.005,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.005,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.005,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.01,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.01,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.01,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.15,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.15,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.85,0.15,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.001,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.001,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.001,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.002,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.002,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.002,0.8,0.02,0.065,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.0025,0.5,0.02,0.05,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
材料比例敏感性,0.9,0.0025,0.65,0.02,0.057499999999999996,False,订购优化不可行：The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,,
